         1              2          3        4     5      6     7      8     9     10    11     12    13     14     15     16     17      18     19       20    21     22     23    24     25    26     27    28     29   30   31      32   33 34 35 36      37     38 39 40 41 42 43 44   45    46    47    48   49  50 51   52   53       54    55 56 57 58 59 60 61    62    63     64    65     66    67     68    69     70    71             72                   73                74
      SDSS J          R.A. (2000)  Dec.     z         u            g            r            i            z        A_u  log NH  FIRST    S/N    "      ROSAT   S/N    "      2MASS J      2MASS H      2MASS K      "   Flg   M_i   D(g-i) Mp SP Bl Um  BEST Flag  Lz Hz FT RT Sr St Gx  Run  R_MJD S_MJD Plate Fib Prs Col Frm  Obj TARGET Flag Lz Hz FT RT Sr St Gx   u_TARGET     g_TARGET     r_TARGET     i_TARGET     z_TARGET          BestObjID            SpecObjID         Other Name
015615.10+005849.2  29.062940   0.980357 0.7800 20.287 0.055 20.021 0.023 20.112 0.027 19.962 0.036 19.948 0.099  0.153 20.391  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -23.222  0.068  0  0  1  0    34603008  0  0  0  0  1  0  0  3325 52522 52199  700  570  41  6  302  138     1048576  0  0  0  0  1  0  0 20.011 0.048 19.772 0.015 19.862 0.019 19.822 0.031 19.588 0.089   588015510355837066   197256679086096384 SDSS J015615.10+005849.2 
015615.29-084938.4  29.063715  -8.827341 1.7807 19.141 0.036 19.212 0.017 19.161 0.022 18.979 0.024 19.001 0.068  0.115 20.322  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -26.160 -0.029  0  1  1  0     1048578  1  0  0  0  1  0  0  1741 51814 52168  665  622  40  4   54  121           4  1  0  0  0  0  0  0 19.110 0.042 19.179 0.011 19.168 0.013 18.972 0.016 18.982 0.067   587727231060934777   187404921975341056 SDSS J015615.29-084938.3 
015616.16-000117.6  29.067367  -0.021560 1.2437 17.922 0.019 17.886 0.021 17.687 0.021 17.670 0.022 17.684 0.029  0.163 20.362  0.000   0.000  0.000  -9.000  0.000  0.000 16.634 0.164  0.000 0.000 15.604 0.247  0.088 10 -26.643 -0.091  0  0  1  0           2  1  0  0  0  0  0  0  2738 52234 52179  701  314  40  3  112   81           2  1  0  0  0  0  0  0 17.922 0.019 17.886 0.021 17.687 0.021 17.670 0.022 17.684 0.029   587731512610259025   197538067089719296 SDSS J015616.16-000117.6 
015618.22+010204.1  29.075946   1.034496 0.7128 20.259 0.055 19.892 0.022 19.889 0.025 19.827 0.031 19.705 0.082  0.150 20.394  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -23.137  0.050  0  0  1  0    34603008  0  0  0  0  1  0  0  3325 52522 52933 1075  321  41  6  302  154    34603008  0  0  0  0  1  0  0 20.259 0.055 19.892 0.022 19.889 0.025 19.827 0.031 19.705 0.082   588015510355837082   302812946814205952 SDSS J015618.22+010204.1 
015621.62+001850.2  29.090122   0.313957 1.2957 19.927 0.048 20.003 0.024 19.510 0.023 19.564 0.024 19.651 0.075  0.167 20.356  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000 16.528 0.257  0.000 0.000  0.000  6 -24.849  0.122  0  0  1  0    34603008  0  0  0  0  1  0  0  2738 52234 52179  701  349  40  4  112   90     1179648  0  0  0  0  1  1  0 19.527 0.027 19.543 0.011 19.251 0.011 19.250 0.017 19.372 0.093   587731513147129946   197538067236519936 SDSS J015621.62+001850.2 
015628.04-084208.9  29.116851  -8.702486 0.3948 18.457 0.021 18.302 0.023 18.267 0.027 18.225 0.022 17.868 0.022  0.127 20.320  0.000   0.000  0.000  -9.000  0.000  0.000 17.123 0.278  0.000 0.000 15.701 0.233  0.000 20 -23.297 -0.041  0  1  1  0           3  1  1  0  0  0  0  0  1729 51813 52168  665  626  40  5  275   11           5  1  1  0  0  0  0  0 18.532 0.019 18.208 0.024 18.248 0.007 18.178 0.012 17.876 0.021   587727180072681483   187404921992118272 SDSS J015628.04-084208.8 
015628.40+134142.1  29.118358  13.695042 1.3762 19.396 0.032 19.590 0.021 19.026 0.019 19.139 0.026 19.080 0.053  0.328 20.715 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.482  0.095  0  1  1  0   135273987  1  1  0  1  1  0  0  1043 51465 51900  427  351  40  3  190   40   135273476  1  0  0  1  1  0  0 19.444 0.022 19.633 0.011 19.059 0.010 19.141 0.020 19.073 0.050   587724232645804072   120412725330313216 SDSS J015628.40+134142.0 
015629.06+000724.2  29.121099   0.123414 0.3605 19.015 0.029 18.801 0.019 18.686 0.016 18.740 0.019 18.064 0.028  0.156 20.362  0.000   0.000  0.000  -9.000  0.000  0.000 17.234 0.229 16.463 0.275 15.566 0.191  0.115 13 -22.575 -0.142  0  1  1  0     1048579  1  1  0  0  1  0  0  3325 52522 51871  403  461  41  4  302  220     1048580  1  0  0  0  1  0  0 19.005 0.021 18.785 0.007 18.634 0.008 18.685 0.010 17.959 0.024   588015509282095324   113657201796579328 SDSS J015629.06+000724.2 
015631.78-090802.8  29.132435  -9.134131 1.6698 18.958 0.030 18.845 0.021 18.826 0.016 18.667 0.014 18.717 0.048  0.113 20.324  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -26.322 -0.098  0  1  1  0     1048578  1  0  0  0  1  0  0  1729 51813 52149  666  315  40  4  275    6     1048580  1  0  0  0  1  0  0 18.962 0.027 18.855 0.012 18.853 0.014 18.622 0.021 18.712 0.046   587727179535810566   187686314060021760 SDSS J015631.78-090802.8 
015633.26-005402.0  29.138601  -0.900562 2.6660 20.162 0.050 19.389 0.033 19.146 0.022 19.061 0.020 19.007 0.041  0.157 20.401  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -27.014  0.196  0  0  1  0           0  0  0  0  0  0  0  0  2738 52234 52941 1505  300  40  1  113  147           0  0  0  0  0  0  0  0 20.162 0.050 19.389 0.033 19.146 0.022 19.061 0.020 19.007 0.041   587731511536582803   423847221071446016 SDSS J015633.26-005401.9 
015633.41+131944.0  29.139220  13.328889 1.0274 20.455 0.049 20.371 0.031 20.105 0.028 20.159 0.033 20.110 0.114  0.285 20.719 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000 16.829 0.296  0.000 0.000  0.000  6 -23.746 -0.014  0  1  1  0    34603008  0  0  0  0  1  0  0  1035 51464 51900  427  319  40  3  154  163    34603008  0  0  0  0  1  0  0 20.386 0.047 20.334 0.020 20.122 0.021 20.146 0.031 20.137 0.113   587724198283706531   120412725196095488 SDSS J015633.41+131943.9 
015633.56+005749.1  29.139859   0.963650 0.6039 20.896 0.086 20.538 0.028 20.573 0.034 20.180 0.038 19.798 0.085  0.142 20.396  0.000   0.000  0.000  -9.000  0.000  0.000 17.497 0.312 16.427 0.255 16.112 0.268  0.000 26 -22.377  0.233  1  0  1  0    33554432  0  0  0  0  0  0  0  3325 52522 52933 1075  378  41  6  302  202    33554432  0  0  0  0  0  0  0 20.896 0.086 20.538 0.028 20.573 0.034 20.180 0.038 19.798 0.085   588015510355837130   302812947053281280 SDSS J015633.56+005749.1 
015633.57+003045.8  29.139902   0.512743 1.0148 19.910 0.040 19.661 0.021 19.366 0.022 19.546 0.026 19.508 0.060  0.169 20.373 14.909  25.321  0.026  -9.000  0.000  0.000 17.204 0.272  0.000 0.000  0.000 0.000  0.000 18 -24.282 -0.066  0  0  1  0    45088768  0  0  0  0  1  0  0  3325 52522 52179  701  345  41  5  302   89    12189696  0  0  0  0  1  1  0 19.626 0.032 19.555 0.012 19.317 0.012 19.467 0.021 19.356 0.062   588015509818966105   197538067219742720 FBQS J0156+0030          
015635.22+001449.5  29.146751   0.247095 1.0545 20.503 0.057 20.353 0.037 19.971 0.024 19.874 0.040 20.099 0.111  0.163 20.360  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.044  0.265  0  0  1  0    33554432  0  0  0  0  0  0  0  2738 52234 52933 1075  399  40  4  113   18    33554432  0  0  0  0  0  0  0 20.503 0.057 20.353 0.037 19.971 0.024 19.874 0.040 20.099 0.111   587731513147195410   302812947141361664 SDSS J015635.21+001449.5 
015636.03+135212.3  29.150148  13.870090 1.1273 20.214 0.044 19.899 0.023 19.227 0.019 18.996 0.019 18.876 0.048  0.278 20.714 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000 16.632 0.264  0.000 0.000  0.000  6 -25.129  0.603  0  1  1  0     1048578  1  0  0  0  1  0  0  1035 51464 51900  427  354  40  4  154  120     1179652  1  0  0  0  1  1  0 20.186 0.041 19.883 0.014 19.239 0.011 19.023 0.013 18.915 0.046   587724198820577400   120412725342896128 SDSS J015636.03+135212.2 
015637.73+000211.9  29.157210   0.036642 2.7548 21.491 0.141 20.492 0.026 20.337 0.026 20.359 0.039 20.052 0.114  0.156 20.369  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.789 -0.044  0  0  1  0           0  0  0  0  0  0  0  0  3325 52522 54478 2866  366  41  4  303   97    33554432  0  0  0  0  0  0  0 21.705 0.182 20.635 0.026 20.470 0.029 20.558 0.047 20.171 0.163   588015509282160737   806941266016206848 SDSS J015637.73+000211.9 
015638.55+131757.7  29.160628  13.299386 1.9791 18.485 0.029 18.328 0.015 18.240 0.019 18.083 0.021 18.004 0.025  0.282 20.719 -1.000   0.000  0.000  -9.000  0.000  0.000 17.352 0.318  0.000 0.000  0.000 0.000  0.000 18 -27.368 -0.009  0  1  1  0     1048578  1  0  0  0  1  0  0  1043 51465 51877  430   67  40  2  190  115     1179652  1  0  0  0  1  1  0 18.480 0.014 18.364 0.005 18.287 0.006 18.097 0.007 18.033 0.021   587724232108933235   121257050285015040 SDSS J015638.54+131757.7 
015642.11+141944.3  29.175475  14.328987 4.3257 24.340 0.891 23.654 0.301 20.682 0.041 20.312 0.043 19.885 0.089  0.281 20.711 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -26.868  0.877  0  1  1  0           1  0  1  0  0  0  0  0  1035 51464 51877  430  586  40  5  154  726    33554433  0  1  0  0  0  0  0 24.191 0.917 23.655 0.301 20.668 0.036 20.331 0.041 19.922 0.089   587724199357448918   121257052461858816 SDSS J015642.11+141944.3 
015643.80+003648.6  29.182527   0.613526 2.0164 20.210 0.048 20.168 0.024 20.040 0.026 19.792 0.029 19.469 0.057  0.153 20.382  0.000   0.000  0.000  -9.000  0.000  0.000 17.716 0.340  0.000 0.000  0.000 0.000  0.000 18 -25.650  0.163  0  0  1  0           0  0  0  0  0  0  0  0  3325 52522 52933 1075  425  41  5  303  180           0  0  0  0  0  0  0  0 20.210 0.048 20.168 0.024 20.040 0.026 19.792 0.029 19.469 0.057   588015509819031732   302812947250413568 SDSS J015643.80+003648.7 
015644.13-005038.0  29.183909  -0.843916 1.7779 20.923 0.076 20.690 0.043 20.650 0.035 20.373 0.035 20.429 0.119  0.152 20.401  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.778  0.048  0  0  1  0    33554432  0  0  0  0  0  0  0  2738 52234 52941 1505  294  40  1  113  357    33554432  0  0  0  0  0  0  0 20.923 0.076 20.690 0.043 20.650 0.035 20.373 0.035 20.429 0.119   587731511536583013   423847221046280192 SDSS J015644.13-005038.0 
015645.81+001941.3  29.190886   0.328146 1.2863 20.254 0.048 20.162 0.032 20.038 0.024 19.922 0.040 20.027 0.103  0.167 20.369  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.473 -0.076  0  0  1  0    33554432  0  0  0  0  0  0  0  2738 52234 52933 1075  434  40  4  113  144    33554432  0  0  0  0  0  0  0 20.254 0.048 20.162 0.032 20.038 0.024 19.922 0.040 20.027 0.103   587731513147195536   302812947288162304 SDSS J015645.81+001941.3 
015646.45-001558.6  29.193544  -0.266296 0.3899 19.603 0.036 19.294 0.014 19.220 0.016 19.252 0.020 18.788 0.035  0.168 20.382  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000 15.846 0.257  0.000  2 -22.256 -0.104  0  0  1  0    33554432  0  0  0  0  0  0  0  3325 52522 52199  700  101  41  3  303   27     1179648  0  0  0  0  1  1  0 19.633 0.033 19.357 0.011 19.403 0.013 19.341 0.017 18.965 0.045   588015508745289755   197256677118967808 SDSS J015646.44-001558.6 
015650.28+005308.4  29.209505   0.885684 1.6514 19.177 0.032 19.080 0.023 18.641 0.017 18.279 0.021 18.205 0.027  0.150 20.398  0.000   0.000  0.000  -9.000  0.000  0.000 16.601 0.131 15.812 0.150 15.590 0.192  0.431 13 -26.699  0.520  0  1  1  0           2  1  0  0  0  0  0  0  3325 52522 51871  403  401  41  6  303   18           4  1  0  0  0  0  0  0 18.775 0.018 18.621 0.007 18.289 0.007 17.947 0.008 17.911 0.020   588015510355902482   113657201544921088 SDSS J015650.28+005308.4 
015650.30-101021.8  29.209597 -10.172731 1.2957 19.269 0.060 19.151 0.051 18.860 0.021 18.834 0.022 18.817 0.054  0.116 20.310 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000 15.863 0.244  0.000  2 -25.558  0.017  0  1  1  0     1048578  1  0  0  0  1  0  0  1741 51814 52168  665   49  40  1   55   39     1048580  1  0  0  0  1  0  0 19.176 0.031 19.109 0.016 18.886 0.017 18.874 0.016 18.802 0.054   587727229450387495   187404919572004864 SDSS J015650.30-101021.8 
015650.82-004532.5  29.211789  -0.759051 1.7954 19.020 0.037 19.014 0.017 18.994 0.022 18.729 0.015 18.777 0.034  0.147 20.400  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -26.442 -0.003  0  1  1  0     1048579  1  1  0  0  1  0  0  3325 52522 51871  403  251  41  2  303   17     1048580  1  0  0  0  1  0  0 18.693 0.019 18.717 0.007 18.790 0.008 18.519 0.009 18.609 0.032   588015508208418833   113657200915775488 SDSS J015650.82-004532.5 
015653.16-004623.2  29.221537  -0.773137 0.6155 20.720 0.086 20.223 0.023 20.264 0.031 19.909 0.027 19.848 0.075  0.146 20.400  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -22.696  0.200  1  0  1  0    33554432  0  0  0  0  0  0  0  3325 52522 52199  700   55  41  2  303   84    33554432  0  0  0  0  0  0  0 20.720 0.086 20.223 0.023 20.264 0.031 19.909 0.027 19.848 0.075   588015508208418900   197256676926029824 SDSS J015653.16-004623.2 
015653.61+134718.6  29.223413  13.788525 1.4343 20.515 0.054 20.414 0.027 20.158 0.027 19.992 0.029 19.914 0.109  0.278 20.716 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.707  0.082  0  1  1  0    34603008  0  0  0  0  1  0  0  1035 51464 51900  427  342  40  4  154  178    34603008  0  0  0  0  1  0  0 20.617 0.051 20.385 0.021 20.162 0.023 20.005 0.026 19.925 0.109   587724198820577458   120412725292564480 SDSS J015653.61+134718.6 
015656.34-002810.3  29.234770  -0.469549 1.7923 19.989 0.043 19.815 0.037 19.681 0.020 19.310 0.018 19.348 0.052  0.154 20.393  0.000   0.000  0.000  -9.000  0.000  0.000 17.431 0.312 16.021 0.188  0.000 0.000  0.000 24 -25.860  0.219  0  0  1  0    33554432  0  0  0  0  0  0  0  2738 52234 52199  700  109  40  2  113  141    33554432  0  0  0  0  0  0  0 19.989 0.043 19.815 0.037 19.681 0.020 19.310 0.018 19.348 0.052   587731512073453709   197256677152522240 SDSS J015656.34-002810.3 
015656.51+123908.0  29.235497  12.652229 1.6281 19.711 0.032 19.523 0.024 19.306 0.021 19.026 0.021 19.019 0.049  0.314 20.727 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.985  0.163  0  1  1  0           2  1  0  0  0  0  0  0  1035 51464 51877  430   55  40  1  155   65           4  1  0  0  0  0  0  0 19.776 0.028 19.436 0.013 19.262 0.012 18.970 0.013 19.022 0.044   587724197210030145   121257050234683392 SDSS J015656.51+123907.9 
015657.74-084234.3  29.240620  -8.709537 1.3092 19.376 0.028 19.380 0.033 19.027 0.029 19.038 0.022 19.063 0.055  0.130 20.318  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.384  0.044  0  1  1  0           2  1  0  0  0  0  0  0  1729 51813 52168  665  633  40  5  276    4           4  1  0  0  0  0  0  0 19.310 0.026 19.227 0.014 19.049 0.015 19.006 0.019 19.107 0.054   587727180072747012   187404922021478400 SDSS J015657.74-084234.2 
015657.83-084000.6  29.240984  -8.666852 1.1457 19.501 0.031 19.389 0.034 19.096 0.030 19.087 0.023 19.145 0.058  0.134 20.316  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.018  0.048  0  1  1  0     1048578  1  0  0  0  1  0  0  1729 51813 52149  666  343  40  5  276    7     1048580  1  0  0  0  1  0  0 19.505 0.030 19.347 0.015 19.107 0.016 19.058 0.019 19.163 0.058   587727180072747015   187686314177462272 SDSS J015657.83-084000.6 
015658.40+001615.9  29.243362   0.271094 0.3593 19.284 0.027 19.210 0.029 19.002 0.018 18.870 0.035 18.382 0.037  0.161 20.373  0.000   0.000  0.000  -9.000  0.000  0.000 17.115 0.202 15.865 0.155 15.314 0.145  0.385 13 -22.439  0.141  1  1  1  0           2  1  0  0  0  0  0  0  2738 52234 51871  403  467  40  4  113  115           4  1  0  0  0  0  0  0 19.286 0.023 19.194 0.009 18.987 0.009 18.787 0.012 18.390 0.039   587731513147195507   113657201821745152 SDSS J015658.40+001615.9 
015658.47-002558.1  29.243650  -0.432826 1.3175 18.969 0.024 19.054 0.036 18.809 0.016 18.801 0.016 18.949 0.041  0.154 20.391  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.646 -0.051  0  0  1  0           2  1  0  0  0  0  0  0  2738 52234 52933 1075  225  40  2  113   36           2  1  0  0  0  0  0  0 18.969 0.024 19.054 0.036 18.809 0.016 18.801 0.016 18.949 0.041   587731512073453604   302812946411552768 SDSS J015658.47-002558.1 
015658.70+004640.9  29.244605   0.778049 1.1381 20.487 0.053 20.416 0.027 20.217 0.027 20.376 0.037 20.584 0.133  0.154 20.396  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -23.721 -0.214  0  0  1  0    34603008  0  0  0  0  1  0  0  2738 52234 52941 1505  377  40  5  113  189    34603008  0  0  0  0  1  0  0 20.487 0.053 20.416 0.027 20.217 0.027 20.376 0.037 20.584 0.133   587731513684066493   423847221394407424 SDSS J015658.70+004640.9 
015659.27+123159.6  29.246965  12.533231 3.1336 22.426 0.266 20.881 0.043 20.435 0.035 19.911 0.033 19.824 0.094  0.332 20.728 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -26.593  0.585  0  1  1  0    33554432  0  0  0  0  0  0  0  1035 51464 51877  430   43  40  1  155  478    33554433  0  1  0  0  0  0  0 22.391 0.256 20.910 0.038 20.479 0.031 19.922 0.028 19.811 0.090   587724197210030558   121257050184351744 SDSS J015659.27+123159.5 
015659.49+000702.8  29.247876   0.117471 1.3155 19.656 0.041 19.542 0.019 19.241 0.017 19.214 0.025 19.247 0.059  0.151 20.377  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.228  0.024  0  0  1  0    34603008  0  0  0  0  1  0  0  3325 52522 52199  700  595  41  4  303   51    34603008  0  0  0  0  1  0  0 19.656 0.041 19.542 0.019 19.241 0.017 19.214 0.025 19.247 0.059   588015509282160691   197256679190953984 SDSS J015659.48+000702.9 
015701.39-002248.0  29.255795  -0.380014 1.8981 20.122 0.048 20.034 0.018 19.911 0.021 19.708 0.024 19.580 0.062  0.156 20.391  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.596  0.066  0  0  1  0    34603008  0  0  0  0  1  0  0  3325 52522 52199  700  117  41  3  303  203    34603008  0  0  0  0  1  0  0 20.122 0.048 20.034 0.018 19.911 0.021 19.708 0.024 19.580 0.062   588015508745289931   197256677186076672 SDSS J015701.38-002248.0 
015704.09+122858.2  29.267074  12.482860 4.1612 24.301 0.978 22.306 0.132 20.178 0.029 19.878 0.031 19.685 0.084  0.354 20.728 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -27.249  0.442  0  1  1  0     8388609  0  1  0  0  1  0  0  1035 51464 51877  430   50  40  1  156  180    33554433  0  1  0  0  0  0  0 24.054 0.880 22.239 0.128 20.240 0.025 19.895 0.028 19.718 0.086   587724197210095796   121257050213711872 SDSS J015704.09+122858.2 
015704.11-005657.5  29.267159  -0.949318 1.7767 19.533 0.033 19.405 0.033 19.396 0.021 19.168 0.022 19.150 0.045  0.150 20.407  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.980 -0.029  0  0  1  0    34603008  0  0  0  0  1  0  0  2738 52234 52199  700   13  40  1  114   27     1048576  0  0  0  0  1  0  0 19.555 0.026 19.547 0.013 19.600 0.015 19.333 0.020 19.255 0.072   587731511536648219   197256676749869056 SDSS J015704.11-005657.5 
015705.22-010824.5  29.271753  -1.140140 1.5137 20.152 0.047 19.782 0.068 19.386 0.023 19.233 0.039 19.223 0.049  0.143 20.412  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.538  0.237  0  1  1  0    33554432  0  0  0  0  0  0  0  3325 52522 51871  403  254  41  1  303  159     1048580  1  0  0  0  1  0  0 19.781 0.036 19.348 0.012 19.267 0.013 18.936 0.016 19.247 0.062   588015507671548063   113657200928358400 SDSS J015705.21-010824.4 
015706.03-000319.8  29.275153  -0.055500 1.5415 20.706 0.062 20.382 0.036 20.207 0.036 19.982 0.031 20.022 0.087  0.170 20.384  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.843  0.053  0  0  1  0    34603008  0  0  0  0  1  0  0  2738 52234 52914 1076   18  40  3  114  146    34603008  0  0  0  0  1  0  0 20.706 0.062 20.382 0.036 20.207 0.036 19.982 0.031 20.022 0.087   587731512610390162   303094338915663872 SDSS J015706.03-000319.7 
015707.23-002637.7  29.280150  -0.443813 0.8889 20.599 0.071 20.152 0.030 20.036 0.025 20.075 0.027 19.920 0.080  0.153 20.394  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -23.426  0.026  0  0  1  0    34603008  0  0  0  0  1  0  0  2738 52234 52914 1076    7  40  2  114  135    34603008  0  0  0  0  1  0  0 20.599 0.071 20.152 0.030 20.036 0.025 20.075 0.027 19.920 0.080   587731512073519239   303094338869526528 SDSS J015707.23-002637.7 
015707.78-011241.8  29.282435  -1.211612 0.7675 19.297 0.034 19.016 0.068 18.912 0.022 19.005 0.038 18.791 0.038  0.145 20.413  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.136  0.020  0  0  1  0     1048578  1  0  0  0  1  0  0  3325 52522 52199  700    2  41  1  303   80     1048578  1  0  0  0  1  0  0 19.297 0.034 19.016 0.068 18.912 0.022 19.005 0.038 18.791 0.038   588015507671547984   197256676703731712 SDSS J015707.78-011241.8 
015709.59-001810.5  29.289992  -0.302930 3.1587 23.046 0.437 20.817 0.028 20.494 0.028 20.181 0.031 19.920 0.082  0.154 20.391  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -26.268  0.290  0  0  1  0           1  0  1  0  0  0  0  0  3325 52522 52179  701  317  41  3  303  225           1  0  1  0  0  0  0  0 23.046 0.437 20.817 0.028 20.494 0.028 20.181 0.031 19.920 0.082   588015508745289953   197538067102302208 SDSS J015709.59-001810.5 
015709.66-093524.7  29.290273  -9.590205 1.3852 19.263 0.042 19.135 0.030 18.812 0.015 18.749 0.028 18.738 0.050  0.111 20.324  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000 16.460 0.258  0.000 0.000  0.000  6 -25.800  0.089  0  1  1  0     1048578  1  0  0  0  1  0  0  1741 51814 52149  666  302  40  2   55  159     1048580  1  0  0  0  1  0  0 19.322 0.041 19.148 0.016 18.812 0.016 18.711 0.016 18.722 0.059   587727229987258527   187686314005495808 SDSS J015709.66-093524.7 
015713.59+000322.9  29.306632   0.056377 1.4811 19.793 0.042 19.552 0.018 19.370 0.019 19.164 0.019 19.099 0.051  0.152 20.384  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.559  0.077  0  0  1  0    34603008  0  0  0  0  1  0  0  3325 52522 52179  701  359  41  4  304    3    34603008  0  0  0  0  1  0  0 19.793 0.042 19.552 0.018 19.370 0.019 19.164 0.019 19.099 0.051   588015509282226179   197538067278462976 SDSS J015713.59+000322.9 
015716.66-082942.7  29.319420  -8.495195 1.3921 19.430 0.044 19.297 0.016 19.029 0.034 18.900 0.025 18.802 0.048  0.127 20.314  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000 16.519 0.263 15.999 0.276  0.000  8 -25.667  0.083  0  1  1  0     1048578  1  0  0  0  1  0  0  1741 51814 52149  666  351  40  5   56   70     1048580  1  0  0  0  1  0  0 19.380 0.034 19.280 0.019 19.017 0.011 18.939 0.027 18.822 0.049   587727231597936710   187686314211016704 SDSS J015716.66-082942.6 
015716.68-011439.2  29.319523  -1.244234 1.3868 20.202 0.049 19.930 0.053 19.843 0.026 19.803 0.037 19.829 0.080  0.143 20.415  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.761 -0.185  0  0  1  0    33554432  0  0  0  0  0  0  0  3325 52522 52933 1075  204  41  1  304  133    33554432  0  0  0  0  0  0  0 20.202 0.049 19.930 0.053 19.843 0.026 19.803 0.037 19.829 0.080   588015507671613573   302812946323472384 SDSS J015716.68-011439.2 
015717.24-001457.0  29.321836  -0.249175 1.6418 19.309 0.032 19.120 0.014 19.063 0.018 19.075 0.031 18.915 0.038  0.145 20.393  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.887 -0.248  0  1  1  0     1048578  1  0  0  0  1  0  0  3325 52522 51871  403  173  41  3  304   32     1179652  1  0  0  0  1  1  0 19.463 0.030 19.303 0.010 19.222 0.012 18.922 0.013 19.019 0.049   588015508745355296   113657200588619776 SDSS J015717.23-001457.0 
